nrows 64
cellsize 25.0
xllcorner 0.0
ncols 6
yllcorner 0.0
50.00	23.250	23.250	23.250	23.250	50.00
50.00	22.875	22.875	22.875	22.875	50.00
50.00	22.500	22.500	22.500	22.500	50.00
50.00	22.125	22.125	22.125	22.125	50.00
50.00	21.750	21.750	21.750	21.750	50.00
50.00	21.375	21.375	21.375	21.375	50.00
50.00	21.000	21.000	21.000	21.000	50.00
50.00	20.625	20.625	20.625	20.625	50.00
50.00	20.250	20.250	20.250	20.250	50.00
50.00	19.875	19.875	19.875	19.875	50.00
50.00	19.500	19.500	19.500	19.500	50.00
50.00	19.125	19.125	19.125	19.125	50.00
50.00	18.750	18.750	18.750	18.750	50.00
50.00	18.375	18.375	18.375	18.375	50.00
50.00	18.000	18.000	18.000	18.000	50.00
50.00	17.625	17.625	17.625	17.625	50.00
50.00	17.250	17.250	17.250	17.250	50.00
50.00	16.875	16.875	16.875	16.875	50.00
50.00	16.500	16.500	16.500	16.500	50.00
50.00	16.125	16.125	16.125	16.125	50.00
50.00	15.750	15.750	15.750	15.750	50.00
50.00	15.375	15.375	15.375	15.375	50.00
50.00	15.000	15.000	15.000	15.000	50.00
50.00	14.625	14.625	14.625	14.625	50.00
50.00	14.250	14.250	14.250	14.250	50.00
50.00	13.875	13.875	13.875	13.875	50.00
50.00	13.500	13.500	13.500	13.500	50.00
50.00	13.125	13.125	13.125	13.125	50.00
50.00	12.750	12.750	12.750	12.750	50.00
50.00	12.375	12.375	12.375	12.375	50.00
50.00	12.000	12.000	12.000	12.000	50.00
50.00	11.625	11.625	11.625	11.625	50.00
50.00	11.250	11.250	11.250	11.250	50.00
50.00	10.875	10.875	10.875	10.875	50.00
50.00	10.500	10.500	10.500	10.500	50.00
50.00	10.125	10.125	10.125	10.125	50.00
50.00	9.750	9.750	9.750	9.750	50.00
50.00	9.375	9.375	9.375	9.375	50.00
50.00	9.000	9.000	9.000	9.000	50.00
50.00	8.625	8.625	8.625	8.625	50.00
50.00	8.250	8.250	8.250	8.250	50.00
50.00	7.875	7.875	7.875	7.875	50.00
50.00	7.500	7.500	7.500	7.500	50.00
50.00	7.125	7.125	7.125	7.125	50.00
50.00	6.750	6.750	6.750	6.750	50.00
50.00	6.375	6.375	6.375	6.375	50.00
50.00	6.000	6.000	6.000	6.000	50.00
50.00	5.625	5.625	5.625	5.625	50.00
50.00	5.250	5.250	5.250	5.250	50.00
50.00	4.875	4.875	4.875	4.875	50.00
50.00	4.500	4.500	4.500	4.500	50.00
50.00	4.125	4.125	4.125	4.125	50.00
50.00	3.750	3.750	3.750	3.750	50.00
50.00	3.375	3.375	3.375	3.375	50.00
50.00	3.000	3.000	3.000	3.000	50.00
50.00	2.625	2.625	2.625	2.625	50.00
50.00	2.250	2.250	2.250	2.250	50.00
50.00	1.875	1.875	1.875	1.875	50.00
50.00	1.500	1.500	1.500	1.500	50.00
50.00	1.125	1.125	1.125	1.125	50.00
50.00	0.750	0.750	0.750	0.750	50.00
50.00	0.375	0.375	0.375	0.375	50.00
50.00	0.000	0.000	0.000	0.000	50.00
50.00	-0.375	-0.375	-0.375	-0.375	50.00

